Youtube com.google.android.youtube
Xiaomi-Credit com.xiaomi.payment
Mi-Video com.miui.videoplayer
Google-Drive com.google.android.apps.docs
Chrome com.android.chrome
Gboard com.google.android.inputmethod.latin
Cleaner com.miui.cleanmaster
Wallpaper-Carousel com.miui.android.fashiongallery
Mi-Store com.mi.global.shop
Netflix com.netflix.mediaclient
Facebook com.facebook.katana
Mi-Community com.mi.global.bbs
UC-Browser com.UCMobile.intl
Mi-Account com.xiaomi.account
Security-Center com.miui.securitycenter
Backup com.miui.backup
MiCloudSync com.miui.micloudsync
Music com.miui.player
Duo com.google.android.apps.tachyon
Compass com.miui.compass
Facebook-Services com.facebook.services
Google-Play-Music com.google.android.music
Maps com.google.android.apps.maps
Mi-Cloud-Backup com.miui.cloudbackup
Google-Play-Movies com.google.android.videos
Apps com.xiaomi.mipicks
Find-Device com.xiaomi.finddevice
Notes com.miui.notes
Photos com.google.android.apps.photos
Mi-Drop com.xiaomi.midrop
Mi-Cloud com.miui.cloudservice
Google com.google.android.googlequicksearchbox
Weather-Provider com.miui.providers.weather
Gmail com.google.android.gm
Themes com.android.thememanager
App-Vault com.mi.android.globalpersonalassistant
