Youtube com.google.android.youtube
Xiaomi-Credit com.xiaomi.payment
Mi-Video com.miui.videoplayer
Google-Drive com.google.android.apps.docs
Chrome com.android.chrome
Gboard com.google.android.inputmethod.latin
Mi-Store com.mi.global.shop
Netflix com.netflix.mediaclient
Facebook com.facebook.katana
Mi-Community com.mi.global.bbs
UC-Browser com.UCMobile.intl
Music com.miui.player
Duo com.google.android.apps.tachyon
Compass com.miui.compass
Facebook-Services com.facebook.services
Google-Play-Music com.google.android.music
Maps com.google.android.apps.maps
Google-Play-Movies com.google.android.videos
Apps com.xiaomi.mipicks
Notes com.miui.notes
Photos com.google.android.apps.photos
Mi-Drop com.xiaomi.midrop
Google com.google.android.googlequicksearchbox
Weather-Provider com.miui.providers.weather
Gmail com.google.android.gm
